Name,Developers,Publishers,Multiplayer?,Genres,Total reviews,Total positive,Total negative,Review score,Review score desc,positive percentual,is_free,Price (USD)
Counter-Strike 2,['Valve'],['Valve'],Yes,Shooter,1279700,1107275,172425,8,Very Positive,86.5,TRUE,0
PUBG: BATTLEGROUNDS,['PUBG Corporation'],"['KRAFTON, Inc.']",Yes,Battle Royale,276211,174339,101872,5,Mixed,63.1,TRUE,0
The Sims 4,['Maxis'],['Electronic Arts'],No,Simulation,43665,38701,4964,8,Very Positive,88.6,TRUE,0
H1Z1 Battle Royale,['Daybreak Game Company'],['Daybreak Game Company'],Yes,Battle Royale,37875,19361,18514,5,Mixed,51.1,TRUE,0
Poppy Playtime,['Mob Entertainment'],['Mob Entertainment'],No,Adventure,14641,11596,3045,6,Mostly Positive,79.2,TRUE,0
World War 3,['The Farm 51'],"['Wishlist Games', 'The 4 Winds Entertainment']",Yes,Shooter,14426,8681,5745,5,Mixed,60.2,TRUE,0
Battlerite,['Stunlock Studios'],['Stunlock Studios'],Yes,Action,9876,8694,1182,8,Very Positive,88,TRUE,0
BATTALION: Legacy,['BULKHEAD'],['BULKHEAD'],Yes,Shooter,8858,5327,3531,5,Mixed,60.1,TRUE,0
Life is Strange 2,"['DONTNOD Entertainment', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']","['Square Enix', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']",No,Adventure,8430,6902,1528,8,Very Positive,81.9,TRUE,0
Artifact,['Valve'],['Valve'],Yes,Strategy,8104,4615,3489,5,Mixed,56.9,TRUE,0
Awesomenauts - the 2D moba,['Ronimo Games'],['Atari'],Yes,Action,6882,5828,1054,8,Very Positive,84.7,TRUE,0
Predecessor,['Omeda Studios'],['Omeda Studios'],Yes,Action,6262,4898,1364,6,Mostly Positive,78.2,TRUE,0
MultiVersus,['Player First Games'],['Warner Bros. Games'],Yes,Fighting,5247,3827,1420,6,Mostly Positive,72.9,TRUE,0
Call of Duty: Warzone,"['Infinity Ward', 'Raven Software', 'Beenox', 'Treyarch', 'High Moon Studios', 'Sledgehammer Games', 'Activision Shanghai', 'Demonware', 'Toys for Bob']",['Activision'],Yes,Battle Royale,4099,1116,2983,4,Mostly Negative,27.2,TRUE,0
Yet Another Zombie Defense,['Awesome Games Studio'],['Awesome Games Studio'],Yes,Survival,3828,3335,493,8,Very Positive,87.1,TRUE,0
Quake Champions,['id Software'],['Bethesda Softworks'],Yes,Shooter,3771,2805,966,6,Mostly Positive,74.4,TRUE,0
Paladins,['Evil Mojo Games'],['Hi-Rez Studios'],Yes,Action,3322,2587,735,6,Mostly Positive,77.9,TRUE,0
SMITE 2,['Titan Forge Games'],['Hi-Rez Studios'],Yes,Action,3232,2166,1066,5,Mixed,67,TRUE,0
Tree of Savior (English Ver.),"['IMCGAMES Co.,Ltd.']","['IMCGAMES Co.,Ltd.']",Yes,RPG,3134,1824,1310,5,Mixed,58.2,TRUE,0
Super Animal Royale,['Pixile'],['Pixile'],Yes,Battle Royale,3098,2976,122,9,Overwhelmingly Positive,96.1,TRUE,0
Zenith: Nexus,['Ramen VR'],['Ramen VR'],Yes,Action,2935,2056,879,6,Mostly Positive,70.1,TRUE,0
Ylands,['Bohemia Interactive'],['Bohemia Interactive'],Yes,Adventure,2261,1287,974,5,Mixed,56.9,TRUE,0
Knightfall: A Daring Journey,['Landfall'],['Landfall'],Yes,Battle Royale,2230,2006,224,8,Very Positive,90,TRUE,0
Killer Instinct,['Iron Galaxy Studios'],['Xbox Game Studios'],Yes,Fighting,2091,1923,168,8,Very Positive,92,TRUE,0
Blade Symphony,['Puny Human'],['Puny Human'],Yes,Fighting,1851,1297,554,6,Mostly Positive,70.1,TRUE,0
King Arthur's Gold,['Transhuman Design'],['Transhuman Design'],Yes,Action,1810,1486,324,8,Very Positive,82.1,TRUE,0
Throne of Lies: Medieval Politics,"['PT.farm Inc.', 'Imperium42Â®, LLC']",['PT.farm Inc.'],Yes,RPG,1782,1397,385,6,Mostly Positive,78.4,TRUE,0
Brawlhalla,['Blue Mammoth Games'],['Ubisoft'],Yes,FIghting,1575,1307,268,8,Very Positive,83,TRUE,0
Battlerite Royale,['Stunlock Studios'],['Stunlock Studios'],Yes,Battle Royale,1478,993,485,5,Mixed,67.2,TRUE,0
VAIL VR,['AEXLAB'],['AEXLAB'],Yes,Shooter,1436,1158,278,8,Very Positive,80.6,TRUE,0
BEEP,['Big Fat Alien'],['Big Fat Alien'],No,Adventure,1377,1128,249,8,Very Positive,81.9,TRUE,0
Blockstorm,['GhostShark'],['IndieGala'],Yes,Shooter,1306,975,331,6,Mostly Positive,74.7,TRUE,0
Line of Sight,['BlackSpot Entertainment'],['BlackSpot Entertainment'],Yes,Shooter,1185,628,557,5,Mixed,53,TRUE,0
Block N Load,"['Toadman Interactive', 'Artplant']",['Toadman Interactive'],Yes,Shooter,1091,811,280,6,Mostly Positive,74.3,TRUE,0
