Name,Developers,Publishers,Multiplayer?,Genres,Total reviews,Total positive,Total negative,Review score,Review score desc,positive percentual,is_free,Price (USD)
Tom Clancy's Rainbow Six Siege,['Ubisoft Montreal'],['Ubisoft'],Yes,Shooter,571834,485431,86403,8,Very Positive,84.9,FALSE,19.99
Grand Theft Auto V,['Rockstar North'],['Rockstar Games'],Yes,Action,551680,460190,91490,8,Very Positive,83.4,FALSE,29.99
Terraria,['Re-Logic'],['Re-Logic'],Yes,Adventure,543537,531256,12281,9,Overwhelmingly Positive,97.7,FALSE,9.99
HELLDIVERS 2,['Arrowhead Game Studios'],['PlayStation Publishing LLC'],Yes,Action,543217,441634,101583,8,Very Positive,81.3,FALSE,39.99
Rust,['Facepunch Studios'],['Facepunch Studios'],Yes,Survival,475673,414683,60990,8,Very Positive,87.2,FALSE,39.99
Baldur's Gate 3,['Larian Studios'],['Larian Studios'],Yes,RPG,388098,375946,12152,9,Overwhelmingly Positive,96.9,FALSE,59.99
Among Us,['Innersloth'],['Innersloth'],Yes,RPG,359516,331567,27949,8,Very Positive,92.2,FALSE,4.99
Stardew Valley,['ConcernedApe'],['ConcernedApe'],Yes,RPG,339059,335383,3676,9,Overwhelmingly Positive,98.9,FALSE,14.99
Cyberpunk 2077,['CD PROJEKT RED'],['CD PROJEKT RED'],No,Action,318186,276899,41287,8,Very Positive,87,FALSE,59.99
Phasmophobia,['Kinetic Games'],['Kinetic Games'],Yes,Simulation,316173,304349,11824,9,Overwhelmingly Positive,96.3,FALSE,19.99
Valheim,['Iron Gate AB'],['Coffee Stain Publishing'],Yes,Adventure,238438,226609,11829,9,Overwhelmingly Positive,95,FALSE,19.99
Red Dead Redemption 2,['Rockstar Games'],['Rockstar Games'],Yes,Action,222427,202713,19714,8,Very Positive,91.1,FALSE,59.99
Dead by Daylight,['Behaviour Interactive Inc.'],['Behaviour Interactive Inc.'],Yes,Action,212822,171927,40895,8,Very Positive,80.8,FALSE,19.99
Call of Duty,"['Treyarch', 'Raven Software', 'Beenox', 'High Moon Studios', 'Activision Shanghai', 'Sledgehammer Games', 'Infinity Ward', 'Demonware', 'Toys for Bob']",['Activision'],Yes,Shooter,211614,123234,88380,5,Mixed,58.2,FALSE,69.99
Bloons TD 6,['Ninja Kiwi'],['Ninja Kiwi'],Yes,Strategy,200941,195780,5161,9,Overwhelmingly Positive,97.4,FALSE,13.99
Geometry Dash,['RobTop Games'],['RobTop Games'],No,Adventure,170867,160002,10865,8,Very Positive,93.6,FALSE,4.99
PAYDAY 2,['OVERKILL - a Starbreeze Studio.'],['Starbreeze Publishing AB'],Yes,Action,169305,148682,20623,8,Very Positive,87.8,FALSE,9.99
The Forest,['Endnight Games Ltd'],['Endnight Games Ltd'],Yes,Survival,165755,157993,7762,9,Overwhelmingly Positive,95.3,FALSE,19.99
Fallout 4,['Bethesda Game Studios'],['Bethesda Softworks'],No,RPG,161756,134610,27146,8,Very Positive,83.2,FALSE,19.99
No Man's Sky,['Hello Games'],['Hello Games'],Yes,Adventure,155999,123318,32681,6,Mostly Positive,79.1,FALSE,59.99
Deep Rock Galactic,['Ghost Ship Games'],['Coffee Stain Publishing'],Yes,Action,155471,152319,3152,9,Overwhelmingly Positive,98,FALSE,29.99
